OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
165,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,66.0,
166,Betaproteobacteria,Alcaligenaceae,Sutterella,Bacteria,Burkholderiales,Proteobacteria,unknown,65.0,
167,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,64.0,
168,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,64.0,
169,RF3,unknown,unknown,Bacteria,ML615J-28,Tenericutes,unknown,64.0,
170,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroides plebeius,62.0,
171,Erysipelotrichi,Erysipelotrichaceae,Coprobacillus,Bacteria,Erysipelotrichales,Firmicutes,Coprobacillus cateniformis,61.0,
172,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,61.0,
173,Clostridia,Lachnospiraceae,Roseburia,Bacteria,Clostridiales,Firmicutes,Roseburia faecis,58.0,
174,Bacteroidia,Barnesiellaceae,unknown,Bacteria,Bacteroidales,Bacteroidetes,unknown,57.0,
175,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroides fragilis,57.0,
176,Bacilli,unknown,unknown,Bacteria,Bacillales,Firmicutes,unknown,56.0,
177,Bacteroidia,Barnesiellaceae,Barnesiella,Bacteria,Bacteroidales,Bacteroidetes,Barnesiella intestinihominis,55.0,
178,Clostridia,Lachnospiraceae,Clostridium,Bacteria,Clostridiales,Firmicutes,Clostridium hathewayi,55.0,
179,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,54.0,
180,Coriobacteriia,Coriobacteriaceae,Collinsella,Bacteria,Coriobacteriales,Actinobacteria,Collinsella aerofaciens,53.0,
181,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,53.0,
182,Clostridia,Christensenellaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,53.0,
183,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,52.0,
184,Clostridia,unknown,unknown,Bacteria,unknown,Firmicutes,unknown,51.0,
185,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,51.0,
186,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,51.0,
187,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroides ovatus,48.0,
188,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,48.0,
189,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,47.0,
190,Bacilli,Planococcaceae,unknown,Bacteria,Bacillales,Firmicutes,unknown,47.0,
191,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,46.0,
192,Clostridia,Lachnospiraceae,Coprococcus,Bacteria,Clostridiales,Firmicutes,unknown,46.0,
193,Betaproteobacteria,Alcaligenaceae,Sutterella,Bacteria,Burkholderiales,Proteobacteria,unknown,45.0,
194,Clostridia,Lachnospiraceae,Coprococcus,Bacteria,Clostridiales,Firmicutes,unknown,45.0,
195,Erysipelotrichi,Erysipelotrichaceae,Clostridium,Bacteria,Erysipelotrichales,Firmicutes,Clostridium spiroforme,45.0,
196,Actinobacteria,Corynebacteriaceae,Corynebacterium,Bacteria,Actinomycetales,Actinobacteria,unknown,45.0,
197,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,Pseudomonas fragi,45.0,
198,Clostridia,Mogibacteriaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,44.0,
199,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,43.0,
200,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,42.0,
201,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,42.0,
202,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,42.0,
203,Clostridia,Lachnospiraceae,Anaerostipes,Bacteria,Clostridiales,Firmicutes,unknown,42.0,
204,Bacteroidia,Rikenellaceae,unknown,Bacteria,Bacteroidales,Bacteroidetes,unknown,41.0,
205,Clostridia,Ruminococcaceae,Faecalibacterium,Bacteria,Clostridiales,Firmicutes,Faecalibacterium prausnitzii,41.0,
206,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,41.0,
207,Clostridia,Lachnospiraceae,Clostridium,Bacteria,Clostridiales,Firmicutes,Clostridium citroniae,40.0,
208,Clostridia,Lachnospiraceae,Lachnospira,Bacteria,Clostridiales,Firmicutes,unknown,39.0,
209,Clostridia,Lachnospiraceae,Lachnospira,Bacteria,Clostridiales,Firmicutes,unknown,39.0,
210,Actinobacteria,Corynebacteriaceae,Corynebacterium,Bacteria,Actinomycetales,Actinobacteria,unknown,38.0,
211,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,37.0,
212,Alphaproteobacteria,Brucellaceae,Ochrobactrum,Bacteria,Rhizobiales,Proteobacteria,unknown,37.0,
213,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,37.0,
214,Clostridia,Ruminococcaceae,Faecalibacterium,Bacteria,Clostridiales,Firmicutes,Faecalibacterium prausnitzii,36.0,
215,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,Ruminococcus callidus,35.0,
216,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,35.0,
217,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,35.0,
218,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,33.0,
219,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,33.0,
220,Clostridia,Clostridiaceae,Clostridium,Bacteria,Clostridiales,Firmicutes,unknown,32.0,
221,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,31.0,
222,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,31.0,
223,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,30.0,
224,Clostridia,Ruminococcaceae,Oscillospira,Bacteria,Clostridiales,Firmicutes,unknown,30.0,
225,Bacteroidia,unknown,unknown,Bacteria,Bacteroidales,Bacteroidetes,unknown,29.0,
226,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,Ruminococcus flavefaciens,28.0,
227,Bacilli,Bacillaceae,Bacillus,Bacteria,Bacillales,Firmicutes,unknown,28.0,
228,Bacilli,Lactobacillaceae,Lactobacillus,Bacteria,Lactobacillales,Firmicutes,Lactobacillus zeae,27.0,
229,Bacteroidia,Odoribacteraceae,Butyricimonas,Bacteria,Bacteroidales,Bacteroidetes,unknown,26.0,
230,Clostridia,Ruminococcaceae,Oscillospira,Bacteria,Clostridiales,Firmicutes,unknown,26.0,
231,Coriobacteriia,Coriobacteriaceae,unknown,Bacteria,Coriobacteriales,Actinobacteria,unknown,26.0,
232,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,26.0,
233,Bacilli,Planococcaceae,Solibacillus,Bacteria,Bacillales,Firmicutes,unknown,25.0,
234,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,25.0,
235,Bacilli,Bacillaceae,Oceanobacillus,Bacteria,Bacillales,Firmicutes,Oceanobacillus chironomi,25.0,
236,Bacilli,Bacillaceae,Bacillus,Bacteria,Bacillales,Firmicutes,unknown,25.0,
237,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,25.0,
238,Actinobacteria,Corynebacteriaceae,Corynebacterium,Bacteria,Actinomycetales,Actinobacteria,unknown,25.0,
239,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,24.0,
240,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,24.0,
241,Bacilli,Lactobacillaceae,Lactobacillus,Bacteria,Lactobacillales,Firmicutes,unknown,23.0,
242,Alphaproteobacteria,unknown,unknown,Bacteria,RF32,Proteobacteria,unknown,23.0,
243,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,23.0,
244,Clostridia,Lachnospiraceae,Coprococcus,Bacteria,Clostridiales,Firmicutes,Coprococcus catus,23.0,
245,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,23.0,
246,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacteriales,Proteobacteria,unknown,23.0,
247,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroides uniformis,22.0,
248,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,Ruminococcus flavefaciens,22.0,
249,Clostridia,Lachnospiraceae,Anaerostipes,Bacteria,Clostridiales,Firmicutes,unknown,22.0,
250,Bacilli,Bacillaceae,unknown,Bacteria,Bacillales,Firmicutes,unknown,21.0,
251,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,21.0,
252,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroides uniformis,20.0,
253,Bacilli,Streptococcaceae,Lactococcus,Bacteria,Lactobacillales,Firmicutes,unknown,20.0,
254,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,20.0,
255,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,20.0,
256,Clostridia,Mogibacteriaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,20.0,
257,Bacilli,unknown,unknown,Bacteria,Bacillales,Firmicutes,unknown,20.0,
258,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,20.0,
259,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacteriales,Proteobacteria,unknown,20.0,
260,Bacteroidia,Porphyromonadaceae,Parabacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,20.0,
261,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,19.0,
262,Clostridia,Ruminococcaceae,Oscillospira,Bacteria,Clostridiales,Firmicutes,unknown,19.0,
263,Gammaproteobacteria,Enterobacteriaceae,Morganella,Bacteria,Enterobacteriales,Proteobacteria,unknown,19.0,
264,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,19.0,
265,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,19.0,
266,Fusobacteriia,Fusobacteriaceae,unknown,Bacteria,Fusobacteriales,Fusobacteria,unknown,18.0,
267,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,18.0,
268,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,17.0,
269,Clostridia,Lachnospiraceae,Clostridium,Bacteria,Clostridiales,Firmicutes,Clostridium symbiosum,17.0,
270,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,17.0,
271,Bacteroidia,Rikenellaceae,unknown,Bacteria,Bacteroidales,Bacteroidetes,unknown,17.0,
272,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,17.0,
273,Clostridia,Ruminococcaceae,Oscillospira,Bacteria,Clostridiales,Firmicutes,unknown,17.0,
274,Bacteroidia,Porphyromonadaceae,Parabacteroides,Bacteria,Bacteroidales,Bacteroidetes,Parabacteroides gordonii,16.0,
275,Betaproteobacteria,Rhodocyclaceae,unknown,Bacteria,Rhodocyclales,Proteobacteria,unknown,16.0,
276,Clostridia,Christensenellaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,16.0,
277,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,16.0,
278,Bacilli,Bacillaceae,Bacillus,Bacteria,Bacillales,Firmicutes,Bacillus clausii,16.0,
279,Clostridia,Lachnospiraceae,Roseburia,Bacteria,Clostridiales,Firmicutes,unknown,16.0,
280,Bacilli,Lactobacillaceae,Lactobacillus,Bacteria,Lactobacillales,Firmicutes,Lactobacillus zeae,16.0,
281,Clostridia,Ruminococcaceae,Faecalibacterium,Bacteria,Clostridiales,Firmicutes,Faecalibacterium prausnitzii,15.0,
282,Bacilli,Enterococcaceae,Enterococcus,Bacteria,Lactobacillales,Firmicutes,unknown,15.0,
283,Bacilli,Planococcaceae,unknown,Bacteria,Bacillales,Firmicutes,unknown,15.0,
284,Clostridia,Lachnospiraceae,Clostridium,Bacteria,Clostridiales,Firmicutes,unknown,15.0,
285,Clostridia,Lachnospiraceae,Coprococcus,Bacteria,Clostridiales,Firmicutes,unknown,15.0,
286,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,15.0,
287,Bacilli,Planococcaceae,unknown,Bacteria,Bacillales,Firmicutes,unknown,15.0,
288,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,14.0,
289,Clostridia,Clostridiaceae,SMB53,Bacteria,Clostridiales,Firmicutes,unknown,14.0,
290,Alphaproteobacteria,Methylobacteriaceae,Methylobacterium,Bacteria,Rhizobiales,Proteobacteria,unknown,14.0,
291,Clostridia,Veillonellaceae,Veillonella,Bacteria,Clostridiales,Firmicutes,Veillonella dispar,14.0,
292,Gammaproteobacteria,Enterobacteriaceae,unknown,Bacteria,Enterobacteriales,Proteobacteria,unknown,14.0,
293,Gammaproteobacteria,Moraxellaceae,Acinetobacter,Bacteria,Pseudomonadales,Proteobacteria,Acinetobacter guillouiae,14.0,
294,Clostridia,Mogibacteriaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,13.0,
295,Alphaproteobacteria,unknown,unknown,Bacteria,RF32,Proteobacteria,unknown,13.0,
296,Gammaproteobacteria,Aeromonadaceae,Aeromonas,Bacteria,Aeromonadales,Proteobacteria,unknown,13.0,
297,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,13.0,
298,Bacteroidia,Rikenellaceae,unknown,Bacteria,Bacteroidales,Bacteroidetes,unknown,13.0,
299,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,13.0,
300,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,13.0,
301,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,13.0,
302,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,13.0,
303,Bacilli,Bacillaceae,unknown,Bacteria,Bacillales,Firmicutes,unknown,12.0,
304,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,12.0,
305,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,12.0,
306,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,12.0,
307,Clostridia,Lachnospiraceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,12.0,
308,Erysipelotrichi,Erysipelotrichaceae,Clostridium,Bacteria,Erysipelotrichales,Firmicutes,Clostridium ramosum,12.0,
309,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,12.0,
310,Clostridia,Lachnospiraceae,Clostridium,Bacteria,Clostridiales,Firmicutes,unknown,12.0,
311,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,12.0,
312,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,12.0,
313,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,11.0,
314,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,11.0,
315,Erysipelotrichi,Erysipelotrichaceae,Holdemania,Bacteria,Erysipelotrichales,Firmicutes,unknown,11.0,
316,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,11.0,
317,Actinobacteria,unknown,unknown,Bacteria,Actinomycetales,Actinobacteria,unknown,11.0,
318,Clostridia,Tissierellaceae,Peptoniphilus,Bacteria,Clostridiales,Firmicutes,unknown,11.0,
319,Mollicutes,unknown,unknown,Bacteria,RF39,Tenericutes,unknown,11.0,
320,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,11.0,
321,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,unknown,11.0,
322,Betaproteobacteria,Alcaligenaceae,Sutterella,Bacteria,Burkholderiales,Proteobacteria,unknown,11.0,
323,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,11.0,
324,Bacteroidia,Porphyromonadaceae,Parabacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,11.0,
325,Bacteroidia,Porphyromonadaceae,unknown,Bacteria,Bacteroidales,Bacteroidetes,unknown,11.0,
326,Clostridia,Ruminococcaceae,Oscillospira,Bacteria,Clostridiales,Firmicutes,unknown,10.0,
327,Clostridia,Tissierellaceae,Finegoldia,Bacteria,Clostridiales,Firmicutes,unknown,10.0,
328,Clostridia,Tissierellaceae,ph2,Bacteria,Clostridiales,Firmicutes,unknown,10.0,
329,Verrucomicrobiae,Verrucomicrobiaceae,Akkermansia,Bacteria,Verrucomicrobiales,Verrucomicrobia,Akkermansia muciniphila,10.0,
330,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,10.0,
331,Clostridia,Veillonellaceae,Veillonella,Bacteria,Clostridiales,Firmicutes,Veillonella parvula,10.0,
332,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,10.0,
333,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,10.0,
334,Clostridia,Tissierellaceae,Anaerococcus,Bacteria,Clostridiales,Firmicutes,unknown,10.0,
335,Actinobacteria,unknown,unknown,Bacteria,Actinomycetales,Actinobacteria,unknown,10.0,
336,Bacteroidia,Porphyromonadaceae,Parabacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,10.0,
337,Bacteroidia,Porphyromonadaceae,Porphyromonas,Bacteria,Bacteroidales,Bacteroidetes,unknown,9.0,
338,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,9.0,
339,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,9.0,
340,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,9.0,
341,Bacilli,Planococcaceae,unknown,Bacteria,Bacillales,Firmicutes,unknown,9.0,
342,Gammaproteobacteria,Enterobacteriaceae,Serratia,Bacteria,Enterobacteriales,Proteobacteria,unknown,9.0,
343,Clostridia,Tissierellaceae,Anaerococcus,Bacteria,Clostridiales,Firmicutes,unknown,9.0,
344,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,unknown,9.0,
345,Clostridia,Lachnospiraceae,Lachnospira,Bacteria,Clostridiales,Firmicutes,unknown,9.0,
346,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,9.0,
347,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,9.0,
348,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,8.0,
349,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,8.0,
350,Bacilli,Bacillaceae,Bacillus,Bacteria,Bacillales,Firmicutes,unknown,8.0,
351,Methanobacteria,Methanobacteriaceae,Methanobrevibacter,Archaea,Methanobacteriales,Euryarchaeota,unknown,8.0,
352,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,8.0,
353,Coriobacteriia,Coriobacteriaceae,unknown,Bacteria,Coriobacteriales,Actinobacteria,unknown,7.0,
354,Clostridia,Ruminococcaceae,Oscillospira,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
355,unknown,unknown,unknown,Bacteria,unknown,Bacteroidetes,unknown,7.0,
356,Epsilonproteobacteria,Campylobacteraceae,Campylobacter,Bacteria,Campylobacterales,Proteobacteria,unknown,7.0,
357,Clostridia,Veillonellaceae,Mitsuokella,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
358,unknown,unknown,unknown,Bacteria,unknown,Firmicutes,unknown,7.0,
359,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,7.0,
360,Clostridia,Mogibacteriaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
361,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
362,Clostridia,Christensenellaceae,Christensenella,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
