task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	0c/e808a6	16249	sequence_processing_paired_workflow:demultiplexing_paired_workflow:import_sequences_paired (mock4-run1)	COMPLETED	0	2021-11-22 17:15:34.299	1m 27s	1m 23s	90.1%	187.2 MB	523 MB	5.3 GB	2.6 GB
2	88/775e54	18383	sequence_processing_paired_workflow:demultiplexing_paired_workflow:demultiplexing_illumina_paired (mock4-run1)	COMPLETED	0	2021-11-22 17:17:01.324	10m 47s	10m 44s	99.4%	196.5 MB	531.4 MB	4.9 GB	3.5 GB
3	af/2a79c7	26652	sequence_processing_paired_workflow:demultiplexing_paired_workflow:export_sequences (mock4-run1)	COMPLETED	0	2021-11-22 17:27:48.558	15.2s	11.2s	52.7%	186 MB	522.1 MB	1.1 GB	1 GB
4	dc/f048f7	28046	sequence_processing_paired_workflow:trimming_paired_workflow:import_sequences_paired (mock4-run1)	COMPLETED	0	2021-11-22 17:28:03.805	49.3s	46.3s	97.6%	187.4 MB	523.1 MB	3.2 GB	1.6 GB
5	db/c0d468	29790	sequence_processing_paired_workflow:trimming_paired_workflow:export_visualization_paired (mock4-run1)	COMPLETED	0	2021-11-22 17:28:53.132	53.5s	50.9s	98.6%	274.6 MB	627.6 MB	1.6 GB	535.7 MB
6	f0/b6f7e5	31119	sequence_processing_paired_workflow:trimming_paired_workflow:quality_analysis_paired (mock4-run1)	COMPLETED	0	2021-11-22 17:29:46.732	3.1s	641ms	29.3%	6.9 MB	125.5 MB	4 MB	1.4 KB
7	41/2eb154	31926	sequence_processing_paired_workflow:trimming_paired_workflow:trimming_paired (mock4-run1)	COMPLETED	0	2021-11-22 17:29:49.899	2m 21s	2m 19s	310.7%	5.9 GB	7.1 GB	572.5 MB	364.3 MB
9	4b/c599d0	36178	denoise_cluster_workflow:closed_reference_workflow:join_reads (mock4-run1)	COMPLETED	0	2021-11-22 17:32:11.606	2m 37s	2m 34s	96.9%	192.4 MB	669 MB	5.4 GB	3.9 GB
8	62/3efa92	36169	denoise_cluster_workflow:de_novo_workflow:join_reads (mock4-run1)	COMPLETED	0	2021-11-22 17:32:11.600	2m 38s	2m 34s	97.1%	192.4 MB	669 MB	5.4 GB	3.9 GB
10	8d/e47fbb	36167	denoise_cluster_workflow:open_reference_workflow:join_reads (mock4-run1)	COMPLETED	0	2021-11-22 17:32:11.593	2m 38s	2m 34s	96.5%	192.4 MB	669 MB	5.4 GB	3.9 GB
15	d6/3f52cc	15357	denoise_cluster_workflow:open_reference_workflow:fastq2fasta (mock4-run1)	COMPLETED	0	2021-11-22 17:34:49.567	18.2s	15s	89.6%	9.4 MB	134.7 MB	1.1 GB	1.8 GB
13	e1/4312c6	15315	denoise_cluster_workflow:closed_reference_workflow:fastq2fasta (mock4-run1)	COMPLETED	0	2021-11-22 17:34:49.072	19.7s	15.9s	84.3%	9.4 MB	134.7 MB	1.1 GB	1.8 GB
14	fa/5b8b88	15343	denoise_cluster_workflow:de_novo_workflow:fastq2fasta (mock4-run1)	COMPLETED	0	2021-11-22 17:34:49.325	19.5s	16s	84.8%	9.3 MB	134.7 MB	1.1 GB	1.8 GB
18	d4/437e8e	19741	denoise_cluster_workflow:de_novo_workflow:de_novo (mock4-run1)	COMPLETED	0	2021-11-22 17:35:08.837	3m 7s	3m 4s	96.0%	1.4 GB	1.8 GB	5.7 GB	2.5 GB
19	59/3e97e8	35152	denoise_cluster_workflow:de_novo_workflow:hash_otutables (mock4)	COMPLETED	0	2021-11-22 17:38:15.804	4s	1s	82.2%	7.5 MB	128.5 MB	16.5 MB	790.6 KB
20	c1/8fa565	36019	denoise_cluster_workflow:remove_bimera_workflow:create_seqtable (mock4)	COMPLETED	0	2021-11-22 17:38:19.889	5.2s	2.6s	36.8%	77.6 MB	529.5 MB	16.8 MB	572.8 KB
21	c6/745084	36017	denoise_cluster_workflow:uchime_workflow:import_files (mock4)	COMPLETED	0	2021-11-22 17:38:19.882	11.4s	8.7s	91.6%	186.3 MB	523.3 MB	83.2 MB	1.3 MB
23	f6/d653ee	3306	denoise_cluster_workflow:uchime_workflow:uchime (mock4)	COMPLETED	0	2021-11-22 17:38:31.348	18.2s	15.5s	94.3%	199.4 MB	704.8 MB	130.2 MB	8 MB
22	b8/33424d	1564	denoise_cluster_workflow:remove_bimera_workflow:remove_bimera (mock4)	COMPLETED	0	2021-11-22 17:38:25.112	34.2s	31.8s	98.9%	613 MB	861.6 MB	37.1 MB	970 KB
24	e0/c41aae	5886	denoise_cluster_workflow:uchime_workflow:export_files (mock4)	COMPLETED	0	2021-11-22 17:38:49.555	10.7s	8s	93.2%	185 MB	522.1 MB	79.3 MB	2 MB
25	f4/c11097	7653	denoise_cluster_workflow:remove_bimera_workflow:hash_seqtables (mock4)	COMPLETED	0	2021-11-22 17:38:59.374	3.5s	1s	92.7%	8.8 MB	129.2 MB	17.6 MB	649.8 KB
26	ab/e4ef08	8282	tax_assignment_workflow:blast_workflow:import_reads (mock4)	COMPLETED	0	2021-11-22 17:39:00.276	7.3s	4.5s	92.4%	185.7 MB	523 MB	41.7 MB	619.6 KB
29	60/aaee9b	11060	tax_assignment_workflow:blast_workflow:import_reads (mock4)	COMPLETED	0	2021-11-22 17:39:02.883	7.1s	4.4s	93.0%	185.9 MB	523 MB	42.6 MB	784.2 KB
27	5b/aab91a	8288	tax_assignment_workflow:naive_bayes_workflow:naive_bayes (mock4:gg_13_8_99)	COMPLETED	0	2021-11-22 17:39:00.282	57.7s	54.9s	161.4%	4.4 GB	11.2 GB	1.7 GB	2 GB
30	9c/4b5bc1	11106	tax_assignment_workflow:naive_bayes_workflow:naive_bayes (mock4:gg_13_8_99)	COMPLETED	0	2021-11-22 17:39:02.895	55.1s	52.4s	204.4%	4.4 GB	11.2 GB	1.7 GB	2 GB
34	fa/27aea0	26916	tax_assignment_workflow:naive_bayes_workflow:add_md2biom (mock4)	COMPLETED	0	2021-11-22 17:39:58.007	4.6s	1.4s	94.6%	81.5 MB	287.4 MB	14.4 MB	406.6 KB
35	23/038cc7	26918	tax_assignment_workflow:naive_bayes_workflow:add_md2biom (mock4)	COMPLETED	0	2021-11-22 17:39:58.012	4.8s	1.6s	95.1%	86.9 MB	293.6 MB	14.5 MB	531.2 KB
37	5f/446b7a	29253	otu_processing_workflow:fork (mock4)	COMPLETED	0	2021-11-22 17:40:02.861	21.7s	21.6s	7.7%	90.4 MB	418.2 MB	20.7 MB	531.4 KB
36	6b/a8d0cd	29171	otu_processing_workflow:fork (mock4)	COMPLETED	0	2021-11-22 17:40:02.625	22s	21.8s	8.1%	87.3 MB	415.1 MB	20.3 MB	406.7 KB
