OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
1,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,2081.0,
2,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,2073.0,
3,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,1808.0,
4,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,1736.0,
5,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,1174.0,
6,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,1100.0,
7,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,757.0,
8,Opitutae,Opitutaceae,unknown,Bacteria,Opitutales,Verrucomicrobia,unknown,651.0,
9,Alphaproteobacteria,Hyphomicrobiaceae,unknown,Bacteria,Rhizobiales,Proteobacteria,unknown,600.0,
10,Opitutae,Opitutaceae,unknown,Bacteria,Opitutales,Verrucomicrobia,unknown,589.0,
11,Opitutae,Opitutaceae,unknown,Bacteria,Opitutales,Verrucomicrobia,unknown,577.0,
12,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,570.0,
13,Gammaproteobacteria,Rhodanobacteraceae,Rhodanobacter,Bacteria,Xanthomonadales,Proteobacteria,unknown,570.0,
14,Alphaproteobacteria,Hyphomicrobiaceae,unknown,Bacteria,Rhizobiales,Proteobacteria,unknown,568.0,
15,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,561.0,
16,Gammaproteobacteria,Rhodanobacteraceae,unknown,Bacteria,Xanthomonadales,Proteobacteria,unknown,527.0,
17,Opitutae,Opitutaceae,unknown,Bacteria,Opitutales,Verrucomicrobia,unknown,526.0,
18,Gammaproteobacteria,Rhodanobacteraceae,unknown,Bacteria,Xanthomonadales,Proteobacteria,unknown,510.0,
19,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,498.0,
20,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,unknown,495.0,
21,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,458.0,
22,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,456.0,
23,Betaproteobacteria,Comamonadaceae,unknown,Bacteria,Burkholderiales,Proteobacteria,unknown,449.0,
24,Gammaproteobacteria,unknown,unknown,Bacteria,unknown,Proteobacteria,unknown,444.0,
