OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
1,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,2081.0,
2,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,Rhodoplanes elegans,2073.0,
3,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,Rhodoplanes elegans,1808.0,
4,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,1736.0,
5,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,1174.0,
6,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,Rhodoplanes elegans,1100.0,
7,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,Rhodoplanes elegans,757.0,
8,Opitutae,Opitutaceae,Opitutus,Bacteria,Opitutales,Verrucomicrobia,unknown,651.0,
9,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,600.0,
10,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,589.0,
11,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,577.0,
12,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,Rhodoplanes elegans,570.0,
13,Nitrospira,Nitrospiraceae,Nitrospira,Bacteria,Nitrospirales,Nitrospirae,unknown,570.0,
14,Alphaproteobacteria,Hyphomicrobiaceae,Rhodoplanes,Bacteria,Rhizobiales,Proteobacteria,Rhodoplanes elegans,568.0,
15,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,561.0,
16,Nitrospira,Nitrospiraceae,Nitrospira,Bacteria,Nitrospirales,Nitrospirae,unknown,527.0,
17,Opitutae,Opitutaceae,Opitutus,Bacteria,Opitutales,Verrucomicrobia,unknown,526.0,
18,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,510.0,
19,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,498.0,
20,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,495.0,
21,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,458.0,
22,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,456.0,
23,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,449.0,
24,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,444.0,
25,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,397.0,
26,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,394.0,
27,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,385.0,
28,Gammaproteobacteria,Sinobacteraceae,Steroidobacter,Bacteria,Xanthomonadales,Proteobacteria,unknown,385.0,
29,Spartobacteria,Chthoniobacteraceae,Chthoniobacter,Bacteria,Chthoniobacterales,Verrucomicrobia,unknown,376.0,
30,Gammaproteobacteria,Sinobacteraceae,Steroidobacter,Bacteria,Xanthomonadales,Proteobacteria,unknown,358.0,
31,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,355.0,
32,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,353.0,
33,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,349.0,
34,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,333.0,
35,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,325.0,
36,Betaproteobacteria,Comamonadaceae,unknown,Bacteria,Burkholderiales,Proteobacteria,unknown,322.0,
37,Gammaproteobacteria,Sinobacteraceae,Steroidobacter,Bacteria,Xanthomonadales,Proteobacteria,unknown,321.0,
38,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,320.0,
39,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,316.0,
40,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,315.0,
41,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,310.0,
42,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,307.0,
43,Betaproteobacteria,Comamonadaceae,unknown,Bacteria,Burkholderiales,Proteobacteria,unknown,289.0,
44,Opitutae,Opitutaceae,Opitutus,Bacteria,Opitutales,Verrucomicrobia,unknown,286.0,
45,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,281.0,
46,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,275.0,
47,Betaproteobacteria,Comamonadaceae,Methylibium,Bacteria,Burkholderiales,Proteobacteria,unknown,274.0,
48,Planctomycetia,Gemmataceae,Gemmata,Bacteria,Gemmatales,Planctomycetes,Gemmata obscuriglobus,273.0,
49,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,271.0,
50,Spartobacteria,Chthoniobacteraceae,Chthoniobacter,Bacteria,Chthoniobacterales,Verrucomicrobia,unknown,266.0,
