task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	36/80fd37	9001	denoise_cluster_workflow:de_novo_workflow:join_reads (mock16-run1)	COMPLETED	0	2021-11-22 20:45:36.762	39.3s	36.4s	95.7%	193.2 MB	669 MB	975.7 MB	565.5 MB
4	90/1d937f	8997	denoise_cluster_workflow:closed_reference_workflow:join_reads (mock16-run1)	COMPLETED	0	2021-11-22 20:45:36.755	39.4s	36.5s	95.3%	193.2 MB	669 MB	975.7 MB	565.5 MB
2	95/fd1e2b	9011	denoise_cluster_workflow:open_reference_workflow:join_reads (mock16-run1)	COMPLETED	0	2021-11-22 20:45:36.772	39.6s	36.8s	95.7%	193.2 MB	669 MB	975.7 MB	565.5 MB
7	fd/57b05d	17261	denoise_cluster_workflow:closed_reference_workflow:fastq2fasta (mock16-run1)	COMPLETED	0	2021-11-22 20:46:16.195	5.1s	2.2s	80.2%	8.6 MB	127.2 MB	157.4 MB	277.3 MB
6	62/4beb0a	17248	denoise_cluster_workflow:de_novo_workflow:fastq2fasta (mock16-run1)	COMPLETED	0	2021-11-22 20:46:16.130	5.1s	2.3s	78.5%	8.6 MB	127.2 MB	157.4 MB	277.3 MB
8	6c/89932e	17290	denoise_cluster_workflow:open_reference_workflow:fastq2fasta (mock16-run1)	COMPLETED	0	2021-11-22 20:46:16.426	4.9s	2.1s	85.6%	7.8 MB	127.2 MB	157.4 MB	277.3 MB
10	44/1ffcca	20040	denoise_cluster_workflow:de_novo_workflow:de_novo (mock16-run1)	COMPLETED	0	2021-11-22 20:46:21.321	59.6s	57s	97.6%	285.1 MB	661.3 MB	1 GB	405.2 MB
12	61/b16cae	27423	denoise_cluster_workflow:de_novo_workflow:hash_otutables (mock16)	COMPLETED	0	2021-11-22 20:47:20.979	3.7s	929ms	86.3%	7.5 MB	128.5 MB	16.2 MB	585 KB
13	d1/768377	28316	denoise_cluster_workflow:remove_bimera_workflow:create_seqtable (mock16)	COMPLETED	0	2021-11-22 20:47:24.737	4.3s	1.9s	53.3%	58.5 MB	456.5 MB	16.4 MB	432.5 KB
14	70/8d1d51	28318	denoise_cluster_workflow:uchime_workflow:import_files (mock16)	COMPLETED	0	2021-11-22 20:47:24.743	10.7s	8s	92.7%	185.6 MB	523 MB	82 MB	1.1 MB
16	e3/08ec29	31784	denoise_cluster_workflow:uchime_workflow:uchime (mock16)	COMPLETED	0	2021-11-22 20:47:35.483	17.9s	15.3s	92.2%	198.9 MB	704.3 MB	125.5 MB	4.6 MB
15	76/4d1455	30280	denoise_cluster_workflow:remove_bimera_workflow:remove_bimera (mock16)	COMPLETED	0	2021-11-22 20:47:29.084	30.2s	27.7s	99.2%	614.5 MB	861.6 MB	52.1 MB	1.1 MB
18	69/80f430	35865	denoise_cluster_workflow:remove_bimera_workflow:hash_seqtables (mock16)	COMPLETED	0	2021-11-22 20:47:59.271	3.4s	944ms	92.4%	9 MB	129.4 MB	17.2 MB	485 KB
17	18/338b82	34560	denoise_cluster_workflow:uchime_workflow:export_files (mock16)	COMPLETED	0	2021-11-22 20:47:53.455	11.2s	8.5s	94.4%	185 MB	521.9 MB	78.5 MB	727.4 KB
19	8f/7d2fc6	471	tax_assignment_workflow:blast_workflow:import_reads (mock16)	COMPLETED	0	2021-11-22 20:48:02.710	7.2s	4.5s	93.9%	185.7 MB	523 MB	41.8 MB	632.1 KB
22	4d/bae0c2	2514	tax_assignment_workflow:blast_workflow:import_reads (mock16)	COMPLETED	0	2021-11-22 20:48:04.650	7.3s	4.5s	92.8%	185.3 MB	523 MB	39.6 MB	256.8 KB
26	2e/5ecba6	8250	tax_assignment_workflow:blast_workflow:blast (mock16:ncbi)	COMPLETED	0	2021-11-22 20:48:11.932	46.4s	42.6s	74.9%	477.6 MB	867.4 MB	254.1 MB	161.8 MB
23	b7/add00b	2517	tax_assignment_workflow:naive_bayes_workflow:naive_bayes (mock16:gg_13_8_99)	COMPLETED	0	2021-11-22 20:48:04.656	53.8s	51.1s	95.9%	4.3 GB	11.2 GB	1.7 GB	2 GB
21	71/02393c	481	tax_assignment_workflow:naive_bayes_workflow:naive_bayes (mock16:gg_13_8_99)	COMPLETED	0	2021-11-22 20:48:02.721	56.7s	54s	157.9%	4.4 GB	11.2 GB	1.7 GB	2 GB
28	70/571f0d	18174	tax_assignment_workflow:naive_bayes_workflow:add_md2biom (mock16)	COMPLETED	0	2021-11-22 20:48:58.532	3.7s	914ms	93.2%	7.1 MB	125.7 MB	14 MB	106.7 KB
27	d9/a4a60a	18161	tax_assignment_workflow:blast_workflow:add_md2biom (mock16)	COMPLETED	0	2021-11-22 20:48:58.393	3.9s	999ms	93.3%	7.1 MB	125.7 MB	14 MB	106.6 KB
29	83/04692f	18791	tax_assignment_workflow:naive_bayes_workflow:add_md2biom (mock16)	COMPLETED	0	2021-11-22 20:48:59.457	4s	1.3s	95.1%	82.2 MB	287.4 MB	14.4 MB	392.1 KB
31	d4/aedf98	21073	otu_processing_workflow:fork (mock16)	COMPLETED	0	2021-11-22 20:49:02.279	2s	1.8s	69.5%	72.9 MB	336.9 MB	19.4 MB	106.7 KB
30	7a/23d316	21030	otu_processing_workflow:fork (mock16)	COMPLETED	0	2021-11-22 20:49:02.222	2.1s	1.9s	69.6%	70.3 MB	334.6 MB	19.4 MB	106.9 KB
