Task,Tool,Parameter,Value
OTU assignment,Closed reference,ncpus,1
OTU assignment,Closed reference,percent_identity,0.97
OTU assignment,Closed reference,strand,"plus"
OTU assignment,Closed reference,reference_sequences,"gg_97"
OTU assignment,Open reference,ncpus,1
OTU assignment,Open reference,percent_identity,0.97
OTU assignment,Open reference,strand,"plus"
OTU assignment,Open reference,reference_sequences,"gg_97"
OTU assignment,De novo,ncpus,1
OTU assignment,De novo,percent_identity,0.97
OTU assignment,Dada2,ncpus,1
OTU assignment,Dada2,big_data,"FALSE"
OTU assignment,Deblur,ncpus,1
OTU assignment,Deblur,min_reads,2
OTU assignment,Deblur,min_size,2
Chimera checking,Remove bimera,ncpus,1
Chimera checking,Remove bimera,chimera_method,"consensus"
