task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	97/cbdb5a	8241	denoise_cluster_workflow:open_reference_workflow:join_reads (mock12-run1)	COMPLETED	0	2021-11-22 20:23:27.098	59.7s	56s	89.7%	193.1 MB	669 MB	2 GB	1.2 GB
4	49/4e2a48	8251	denoise_cluster_workflow:de_novo_workflow:join_reads (mock12-run1)	COMPLETED	0	2021-11-22 20:23:27.106	1m	56.7s	90.3%	193.1 MB	669 MB	2 GB	1.2 GB
3	7c/12c0f4	8262	denoise_cluster_workflow:closed_reference_workflow:join_reads (mock12-run1)	COMPLETED	0	2021-11-22 20:23:27.120	1m 1s	56.8s	89.4%	193.1 MB	669 MB	2 GB	1.2 GB
6	fa/20ae29	17341	denoise_cluster_workflow:open_reference_workflow:fastq2fasta (mock12-run1)	COMPLETED	0	2021-11-22 20:24:26.902	6.9s	4s	91.0%	8.6 MB	134.7 MB	313.3 MB	599.8 MB
7	b3/dc5f25	17638	denoise_cluster_workflow:de_novo_workflow:fastq2fasta (mock12-run1)	COMPLETED	0	2021-11-22 20:24:27.604	7.2s	4.3s	83.2%	8.6 MB	134.7 MB	313.3 MB	599.8 MB
8	18/fa265b	17648	denoise_cluster_workflow:closed_reference_workflow:fastq2fasta (mock12-run1)	COMPLETED	0	2021-11-22 20:24:27.671	7.2s	4.4s	83.7%	8.6 MB	134.7 MB	313.3 MB	599.8 MB
10	53/64d3aa	20618	denoise_cluster_workflow:de_novo_workflow:de_novo (mock12-run1)	COMPLETED	0	2021-11-22 20:24:34.859	55.3s	52.7s	93.8%	579.4 MB	959.4 MB	1.9 GB	755 MB
12	27/378896	27690	denoise_cluster_workflow:de_novo_workflow:hash_otutables (mock12)	COMPLETED	0	2021-11-22 20:25:30.246	3.7s	1s	79.5%	7.7 MB	128.5 MB	15.5 MB	70.4 KB
14	6d/cfa347	28765	denoise_cluster_workflow:remove_bimera_workflow:create_seqtable (mock12)	COMPLETED	0	2021-11-22 20:25:34.007	4.9s	2.5s	37.9%	78.6 MB	544.9 MB	15.8 MB	30.6 KB
13	3b/7e5d85	28768	denoise_cluster_workflow:uchime_workflow:import_files (mock12)	COMPLETED	0	2021-11-22 20:25:34.014	10.9s	8.2s	90.0%	184.8 MB	521.8 MB	78.7 MB	464.1 KB
15	67/8acd50	30736	denoise_cluster_workflow:remove_bimera_workflow:remove_bimera (mock12)	COMPLETED	0	2021-11-22 20:25:38.949	11.9s	9.5s	96.2%	614.4 MB	861.6 MB	50.5 MB	125.4 KB
17	7e/9a9b05	33698	denoise_cluster_workflow:remove_bimera_workflow:hash_seqtables (mock12)	COMPLETED	0	2021-11-22 20:25:50.844	3.3s	931ms	92.7%	9 MB	129.4 MB	15.9 MB	70.4 KB
16	a1/c48cf5	32260	denoise_cluster_workflow:uchime_workflow:uchime (mock12)	COMPLETED	0	2021-11-22 20:25:44.914	16.2s	13.5s	93.8%	192.5 MB	526 MB	121.3 MB	1.5 MB
20	aa/7d13d0	34862	tax_assignment_workflow:blast_workflow:import_reads (mock12)	COMPLETED	0	2021-11-22 20:25:54.171	7s	4.3s	93.7%	184 MB	520.4 MB	39.4 MB	230.3 KB
21	d1/66e4c5	2044	denoise_cluster_workflow:uchime_workflow:export_files (mock12)	COMPLETED	0	2021-11-22 20:26:01.163	12.1s	9.3s	83.1%	185.1 MB	522.1 MB	78.5 MB	625 KB
23	6b/77ced5	6084	tax_assignment_workflow:blast_workflow:import_reads (mock12)	COMPLETED	0	2021-11-22 20:26:13.317	7.3s	4.4s	92.9%	185.2 MB	523 MB	39.4 MB	228.1 KB
